index,address,token_1,token_0
0,0xe51635ae8136aBAc44906A8f230C2D235E9c195F,ARB,WETH
1,0x3d82d807da22A4f9d61AC602fF43A18361ecffCe,WETH,CTSI
2,0xa6dC93ab8a41F4a660aF49D581B1E9043dc97A8c,CTX,WETH
3,0x6c0790A175dbcE981301dB099EF713794F41924A,DAI,WETH
4,0xC99be44383BC8d82357F5A1D9ae9976EE9d75bee,GMX,WETH
5,0xED87E5B7E15d45E2F3044Fb3434d79f0A5f77926,GRT,WETH
6,0x6A75e865c33d1477056Ab14316e6F8b3CEB4Fc95,WETH,LDO
7,0xe8795cF9c2309eCfe05Df028eB0F21D5D6e3a951,LINK,WETH
8,0x481aF19b9BF9688b2e9Db100206e868821a68b8B,LQTY,WETH
9,0x02ce8b8987B4CF58610ffE87d3f9c35692DB902D,UNI,WETH
10,0xB1026b8e7276e7AC75410F1fcbbe21796e8f7526,USDC,WETH
11,0x521aa84ab3fcc4c05cABaC24Dc3682339887B126,USDC.E,WETH
12,0x7CcCBA38E2D959fe135e79AEBB57CCb27B128358,USDT,WETH
13,0xd845f7D4f4DeB9Ff5bCf09D140Ef13718F6f6C71,WETH,WBTC
14,0xD51F7383C906cfD995d7f24729F37933Ff264Fa6,WETH,RDNT
15,0x1106dB7165A8d4a8559B441eCdEe14a5d5070DbC,WETH,MAGIC
16,0xE461f84C3fE6BCDd1162Eb0Ef4284F3bB6e4CAD3,WETH,PENDLE
17,0x77112Db0c82b6125bCe01C8cF22A9Fa599C9eF54,HMX,WETH
18,0xA0A3dE6Ca39AdA9FCdc7982097cd11d9947BbEaD,WETH,MCB
19,0xc3e254E39c45c7886A12455cb8207c808486FAC3,WETH,PREMIA
20,0x2d879f8A38648a05c2dba7DeE2A33d00F440e04B,WETH,VELA
21,0x60451B6aC55E3C5F0f3aeE31519670EcC62DC28f,WETH,GRAIL
22,0xaB9E26d98aAAFd53046D3fc06fF5251C8d6FFDCe,MGP,WETH
23,0xBa0001F1f53aa328dA11a26011cBc4ff961c1605,DAI,ARB
24,0xfaE2AE0a9f87FD35b5b0E24B47BAC796A7EEfEa1,USDC,ARB
25,0x4E635D35bB02576d0eAb75eF5E7EBE61C12F3C76,USDC.E,ARB
26,0x36E4C8Fd37E99f76de550c05face6600C221afFC,USDT,ARB
27,0x59516cED04Cc538330B6A38d87A706434fbbbaA7,ARB,PENDLE
28,0xC479F47Eff41042D3e0Cd49f1f9DB0E832814dB7,ARB,VELA
29,0x070342A4B13289FF54881f2068b46b5Fcc7D29cD,USDC,AXL
30,0x78275c74A03D94Dd2F985cC1ceeF0bB13A7725e6,USDT,CTSI
31,0x45FaE8D0D2acE73544baab452f9020925AfCCC75,DAI,USDC
32,0xceaDF572e8c9A4D1c66aE7577913C17d9069dcf3,USDC.E,DAI
33,0x90EA8c74ccd6bd6565564705FEA31216DD1A74C8,USDT,DAI
34,0xa31950E5E527A88C1e3740D697c5C3F23b4CF1C5,GMX,USDC
35,0xB79Af3DadC07E905a148B14382Fe8ED7528623f2,USDC.E,GMX
36,0xC89B650e1badcc209601B4aFFCeabc3F06f4b3e2,USDT,GMX
37,0xC5c0D1ee9f75dA4Ff969104e6E7CadFb8E2AA584,LINK,USDC
38,0x3d7412e255c04239285cAd57f82220D07D6874B0,USDC,LUSD
39,0x5A836a0C9c0b0eD905e3AeA184ddf00c28eE3B7e,USDT,LUSD
40,0xc86Eb7B85807020b4548EE05B54bfC956eEbbfCD,USDC.E,USDC
41,0xa17aFCAb059F3C6751F5B64347b5a503C3291868,USDT,USDC
42,0x02bE4f98FC9Ee4F612a139D84494CBf6c6c7F97f,USDC,WBTC
43,0xA4eED2Fc2fe1CF0010C5264863242318880E8525,USDC,MAGIC
44,0x9C9b3D48c813f253a8FE4D7804c127d7308C1c14,USDC,MCB
45,0x3a75FD7E012f0d1Fc387cBF06160814003c6b160,USDC,VELA
46,0x3AB5DD69950a948c55D1FBFb7500BF92B4Bd4C48,USDC.E,USDT
47,0x9DC5708aaf0d45b12636c7Ce2960E71a8ea210C8,USDC.E,WBTC
48,0xb7e3B53B2687a979627f000a638cab8972532207,USDC.E,MCB
49,0x7da742e78fBbbf96D246b23F4Cc2ae33972f8ef5,USDC.E,VELA
50,0x8cc8093218bCaC8B1896A1EED4D925F6F6aB289F,USDC.E,GRAIL
51,0x64088fcdedd206D32516aCDf93e03224B85Ac254,USDT,HDN
52,0x47f52d14406daab7393564A848f849355862B96f,USDT,GRAIL
