index,address,token_1,token_0,fee
0,0x11d53EC50bc8F54B9357fbFe2A7dE034FC00f8b3,ARB,WETH,1
1,0x0d7c4b40018969f81750d0a164c3839a77353EFB,ARB,WETH,5
2,0xe7E407E082bb89FcEE639A3D5CEF91859F9Ceaaa,ARB,WETH,25
3,0xc45fc9F140B00E568E47012127456FC2Fa29acA3,ARB,WETH,100
4,0xF9D91e0b0cC491F51F029caC1a80FDfFeff138bA,WETH,CTSI,1
5,0xFb8744D69396caf4018cdF0115E4a96E002424a8,WETH,CTSI,5
6,0x39230D814D605663E3f469DCBE739FB005DB9331,GMX,WETH,5
7,0xF5BFda16f9E57F0B7a67C57b42407C33C31349B6,GMX,WETH,25
8,0x0Ba3d55678C019B8101061855fe4Ea8D3ECE784f,LINK,WETH,25
9,0x7fCDC35463E3770c2fB992716Cd070B63540b947,USDC,WETH,1
10,0xd9e2a1a61B6E61b275cEc326465d417e52C1b95c,USDC,WETH,5
11,0xb3d494d53aAC707c469318f15cFd5d7857a61388,USDC,WETH,25
12,0xbeDB464EF776FE208e3F2B5C0BAFBe7983eF49dB,USDC,WETH,100
13,0x0e8fcEA6153205E3A3A184B0613578C3D1729Eab,USDC.E,WETH,5
14,0x38E81e616fa532201e4C7FF9953A9B40CC842f39,USDC.E,WETH,25
15,0x389938CF14Be379217570D8e4619E51fBDafaa21,USDT,WETH,1
16,0x0BaCc7a9717e70EA0DA5Ac075889Bd87d4C81197,USDT,WETH,5
17,0xAEaB1336Efc2bf74bC89FCf0E33E6013f3C8587E,USDT,WETH,25
18,0x5B7dd61f102280C6c121650e328f1e9f0AF2543F,USDT,WETH,100
19,0x54076C901D4fDF76C1fA1F77FAFC3FC1022ADBE5,WETH,WBTC,5
20,0x9d51052d2EA0367e38eFdc04C1324eE08C4189Fe,WETH,WBTC,100
21,0x7ef806DFbB764fD39519F8bB00c35E84d55Fb11F,WOO,WETH,25
22,0x0CAA927059CB8db37CEefcB9e18c4FC7Efef9655,WETH,RDNT,25
23,0x46e3faBB9f963f84E9d23Ca2E332A3Ced59604a6,WETH,MAGIC,25
24,0x1Cb2892038867aDFa78CCfc6C3fB89b1dA558243,WETH,PENDLE,25
25,0xd1f41d5154585213A19516A4a9d161e3A323D7D7,WETH,CAKE,5
26,0xF5Fac36c2429e1Cf84D4aBACdB18477Ef32589c9,WETH,CAKE,25
27,0xD58522653D3F368D76d453Bc4C80CD7Fb36AC786,LVL,WETH,25
28,0x5e3C3a063cc9A4AEB5310C7faDc2A98aEbDD245d,MGP,WETH,25
29,0x93CCe474015007B38dA0eceA96671EE4dc3d40Ad,USDC,ARB,1
30,0x9fFCA51D23Ac7F7df82da414865Ef1055E5aFCc3,USDC,ARB,5
31,0x3a63E393726640B33A78A3cac5e57fa6f35B69Ed,USDC.E,ARB,1
32,0x81D1cc282e9a097115E59F67B9D81d4d1d00AC51,USDT,ARB,5
33,0x812adED4F43A33c0ffB9377B809efAEC63c12065,USDT,ARB,100
34,0x8789d7F0325adE7eC93272ed3265095B2369e78F,ARB,CAKE,1
35,0xcC96a451eD7761e35416B0801C0cDeD97dB323D9,ARB,CAKE,25
36,0x9A5fd0709cB5145e14D8CD4f482072958204D720,ARB,CAKE,100
37,0x347515b568dbD2578e677b42921bAA6E4E5c37B0,USDT,CTSI,1
38,0xA631b601D3591E2B65dcE362025Dae0C82da0732,USDT,CTSI,5
39,0x2f5f597BA5EDc1aa05BBC986CDCfAD9850e6E692,USDT,CTSI,25
40,0xd5d1F85E65Ce58a4782852F4A845b1d6Ca71F1a2,DAI,USDC,1
41,0xab43D9A705166E0EC0FE0fB0Ab2147AB04c8F6f2,DAI,USDC,5
42,0x6a23ec7A203F546d7D62FA667A652EC55197Ea6F,LINK,USDC,25
43,0xE8BB56ee968333bf18f9CBbE8eEef350540F9607,USDC.E,USDC,1
44,0xC5C3E9f4eF6Ee08906779DbC3B54896Ed4886a60,USDC.E,USDC,5
45,0x4CaFe03A948Bae458EeD6Fdf278306d26B0bB33d,USDC.E,USDC,25
46,0xed6595Aad72995361de763687ad0ef3C6e67Ea85,USDC.E,USDC,100
47,0x7e928afb59f5dE9D2f4d162f754C6eB40c88aA8E,USDT,USDC,1
48,0x843aC8dc6D34AEB07a56812b8b36429eE46BDd07,USDC,WBTC,5
49,0xDaA5B2e06cA117f25c8d62f7f7FBaedcF7a939f4,USDC,CAKE,25
50,0x7cD5ac14758a099fC90CC4DE8DDd95d3b0c5950F,USDC,CAKE,100
51,0x280aE11f4329d94A69a8Be97E892d27C8B650961,USDC.E,USDT,100
52,0x0b20Ba7965934F88D002B6E27467C25415597963,USDT,CAKE,1
53,0xb116E48Fd1E45FB180BE71Bba6946cc260ED55b4,USDT,CAKE,25
54,0x6DB721BE2ce05256b532DD8997aE8F25a39C3745,USDT,CAKE,100
55,0xF58B8bdb3f833BA34ebfBe1144B3e5185a556D3d,USDT,LVL,5
56,0x1EE101Db090EDD7fDf50CcDD83918dc7685d3030,USDT,LVL,25
57,0x93CCEE0bD5Bfb6B78adF0099EC482CCded040Bf2,USDT,LVL,100
58,0xF5a958ff5637eD334B14d5818438894404d8F830,USDT,MGP,5
59,0xEEBda51A26072AC5EdBB122f779482356b1BbEfc,USDT,MGP,100
