index,address,token_0,token_1,fee
0,0x392d0F0B7Fe5161Db89f2DB87d33a20682C12A2B,WETH,ENS,25
1,0x7ca3EdB2c8fb3e657E282e67F4008d658aA161D2,LINK,WETH,25
2,0x8579630AC9c53CFEb5167f90Af90d2c0d52ED09c,MATIC,WETH,25
3,0x18645a4A6b70fDB959221Be0be2091fBe17Dc7C1,PEPE,WETH,25
4,0x3202AcfD55232f3706aa81a4F18A98686B5e1d1B,PEPE,WETH,100
5,0x1445F32D1A74872bA41f3D8cF4022E9996120b31,USDC,WETH,1
6,0x1ac1A8FEaAEa1900C4166dEeed0C11cC10669D36,USDC,WETH,5
7,0x19ac5F80EC17497d0E585B953100e6d18c330040,USDC,WETH,25
8,0xaCDb27b266142223e1e676841C1E809255Fc6d07,WETH,USDT,1
9,0x6CA298D2983aB03Aa1dA7679389D955A4eFEE15C,WETH,USDT,5
10,0x702283A9B82445EAAB6A2C7abFA8551bF4AB9f3b,WETH,USDT,25
11,0x486B54c7FFbA86246652C7444dc9498e8D8b627c,WETH,USDT,100
12,0x9b5699D18DFF51fc65fB8ad6F70d93287C36349f,WBTC,WETH,25
13,0xD9e497BD8f491fE163b42A62c296FB54CaEA74B7,DAI,USDC,1
14,0xBddE28efF147849490Fb0b03697B089C7E9E10A3,UNI,USDT,1
15,0x04c8577958CcC170EB3d2CCa76F9d51bc6E42D8f,USDC,USDT,1
16,0xD11D01f1c74c4c5c758A3b2Ae1dF4160E24aE143,USDC,USDT,100
