index,address,token_0,token_1
0,0xA478c2975Ab1Ea89e8196811F51A7B7Ade33eB11,DAI,WETH
1,0xB87b65Dacc6171B3ca8c4A934601d0FcB6c61049,WETH,ENS
2,0x2e81eC0B8B4022fAC83A21B2F2B4B8f5ED744D70,WETH,GRT
3,0x0149ebe930260CcfdaAA8e3081B4C39446b6F491,WETH,IMX
4,0xa2107FA5B38d9bbd2C461D6EDf11B11A50F6b974,LINK,WETH
5,0x819f3450dA6f110BA6Ea52195B3beaFa246062dE,MATIC,WETH
6,0xC2aDdA861F89bBB333c90c492cB837741916A225,MKR,WETH
7,0xA43fe16908251ee70EF74718545e4FE6C5cCEc9f,PEPE,WETH
8,0x0C4a68Cf6857cc76FE946d04Fe85faC5faE9625E,QNT,WETH
9,0xC0a6BB3D31bb63033176edBA7c48542d6B4e406d,RNDR,WETH
10,0x3dd49f67E9d5Bc4C5E6634b3F70BfD9dc1b6BD74,SAND,WETH
11,0x811beEd0119b4AfCE20D2583EB608C6F7AF1954f,SHIB,WETH
12,0xd3d2E2692501A5c9Ca623199D38826e513033a17,UNI,WETH
13,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,USDC,WETH
14,0x0d4a11d5EEaaC28EC3F61d100daF4d40471f1852,WETH,USDT
15,0xBb2b8038a1640196FbE3e38816F3e67Cba72D940,WBTC,WETH
16,0x7C62Fe44A893268411e9f0BB1Ed944f7c8598F92,DAI,GRT
17,0x6D4fd456eDecA58Cf53A8b586cd50754547DBDB2,LINK,DAI
18,0x8F400cFaa80A591d7d1ec51D928A7308f7cb099e,DAI,MATIC
19,0x517F9dD285e75b599234F7221227339478d0FcC8,DAI,MKR
20,0x52798667BbB471E45B3aDa5EAC673610c8a0A9b2,QNT,DAI
21,0x2A96d40539B2c884b0D99fa228f9Cb8849501a02,SAND,DAI
22,0x4e6e41306C7Ef6E53eCdb34e3155C73fCb7869F3,DAI,SHIB
23,0xf00e80f0DE9aEa0B33aA229a4014572777E422EE,UNI,DAI
24,0xAE461cA67B15dc8dc81CE7615e0320dA1A9aB8D5,DAI,USDC
25,0xB20bd5D04BE54f870D5C0d3cA85d82b34B836405,DAI,USDT
26,0x231B7589426Ffe1b75405526fC32aC09D44364c4,WBTC,DAI
27,0xb169c3E8DDA6456A18aEfa49C58f7F53e120a9b4,USDC,ENS
28,0xDfa42Ba0130425b21a1568507B084CC246fb0C8F,USDC,GRT
29,0x6476340acAE01ED51AbD8A13e1B335E8351b47Ad,GRT,USDT
30,0x2a075797290E3e9cA5E7946B52BCe4e7E4E91173,WBTC,GRT
31,0x11B341e478Cc5a8739a555d822503A79f05Bc2c7,USDC,IMX
32,0x01fb16A4f144419Da8fbE4F1f3F27321368456ef,LINK,MATIC
33,0x11ED3f302C3ca6f2E0E3Bd9b77242C99d95328f7,QNT,LINK
34,0x9b2662DC8b80B0fE79310AD316b943CB5Bb15e8b,UNI,LINK
35,0xd8C8a2B125527bf97c8e4845b25dE7e964468F77,LINK,USDC
36,0x9Db10C305c671153662119D453C4D2c123725566,LINK,USDT
37,0x8a01BA64FBc7B12ee13F817DFa862881feC531b8,WBTC,LINK
38,0x5B50400B723FD0f3b1C8e5c20A7AAB2fceB4472b,SAND,MATIC
39,0x9393fd6C9c36aEfF2EB87A100d5cd9bd00D38C30,UNI,MATIC
40,0x6A9e7f087a7D1057dd36A84AE148dAc2C07ea67e,MATIC,USDC
41,0x88C095C8Ba2C7A1353cF3D21E692c5d4d0F90793,MATIC,USDT
42,0x4500d866bEDB9D8fC280924b31C76Dacf7979Cae,WBTC,MATIC
43,0xB981acFc76ca389CCbB376A921E1C077b1C3c031,UNI,MKR
44,0x340A5a2F73eBaa181eC2826802Fdf8ED21Fc759a,MKR,USDC
45,0xa14DFBaa23EE8E8b69878381F8Fd1D0BC502c043,MKR,USDT
46,0xe19abcDD64001fb4CAd9e456Efa366e07b3894a2,PEPE,SHIB
47,0x5A75ed4624BbDA1e992dd006Ea2Aca83d64C30fb,PEPE,USDC
48,0xB676b41F577812C5D5d755D22d302bc7A84Bb489,PEPE,USDT
49,0x46DAcd8f7487C5efAf1209a1095425A83Ecd1837,QNT,USDC
50,0x3836106ddE89bCa75339bFA6Ca097E650361590F,QNT,USDT
51,0xab477b2bC13d93E6A6CD7A24F02051c80235B787,RNDR,USDC
52,0x0377f8Ce5AaD3b4C4Dc79D3fB2A10B452fBAE5dD,RNDR,USDT
53,0xb88501c392a42855aC99f2F290886DEf26edC5B1,UNI,SAND
54,0x504aa346A22c8C452357237E4902DCfbf3709C3D,SAND,USDC
55,0xB3037005e4737BCe195A06214e6E91C6D6D3C5EA,SAND,USDT
56,0x881d5c98866a08f90A6F60E3F94f0e461093D049,SHIB,USDC
57,0x773dD321873fe70553ACC295b1b49A104d968CC8,SHIB,USDT
58,0xEBFb684dD2b01E698ca6c14F10e4f289934a54D6,UNI,USDC
59,0x5ac13261c181a9c3938BfE1b649E65D10F98566B,UNI,USDT
60,0xAA873C9DA6541f13C89416C17271b4c21bf7B2d7,UNI,WBTC
61,0x3041CbD36888bECc7bbCBc0045E3B1f144466f5f,USDC,USDT
62,0x004375Dff511095CC5A197A54140a24eFEF3A416,WBTC,USDC
63,0x0DE0Fa91b6DbaB8c8503aAA2D1DFa91a192cB149,WBTC,USDT
