index,address,token_1,token_0,fee
0,0xFAB99B9bDcD3eAe784595dee64AC97879f9C3179,WETH,1INCH,1
1,0x263f7B865DE80355F91C00dFb975A821Effbea24,AAVE,WETH,5
2,0xDD672b3B768A16b9BcB4eE1060d3e8221435BeAa,AAVE,WETH,30
3,0xA72cd899950C8fB0389a2aCE09a159acA69d3383,AAVE,WETH,100
4,0xC94B16fD4E882fB59517dD63649B13a46d400F61,ALI,WETH,100
5,0x7AfdF59e7E14376C4067b1A0b694A6D3cE6f7143,WETH,APE,30
6,0x5946bb4e2579FE2a0Db5262a20966978bc37c9b0,WETH,APE,100
7,0x89A4026E9aDE251C67b7fb38054931a39936D9C5,ARB,WETH,1
8,0xC6F780497A95e246EB9449f5e4770916DCd6396A,ARB,WETH,5
9,0x92c63d0e701CAAe670C9415d91C474F686298f00,ARB,WETH,30
10,0x92fd143A8FA0C84e016C2765648B9733b0aa519e,ARB,WETH,100
11,0x7bBA5745Cb5A40d8e1a5F88f484e49E31A39B27e,WETH,AXL,100
12,0x990265266B06fff2277BEDe2bcB522CF4fE25146,BADGER,WETH,5
13,0x8Ad86aB4151ecb552527C55825FE0E8dCFC16f64,BADGER,WETH,30
14,0xad6F0c411b75642C700D1231d69c70DeA8c2A7ED,BADGER,WETH,100
15,0x6f7341a7091329E8207EEE04fD6638330BCA2ee3,WETH,BAL,30
16,0x8C15bd3BcE679B7c72374B17679b8DD2Da91a9a9,WETH,BAL,100
17,0x8144130dA0c9eEa4605B9AE51142DB40a255E71A,BLUR,WETH,5
18,0x26F13e104C2F2796AeF0f73A61121C6fc105cD66,BLUR,WETH,30
19,0x1d9567Ffc546B280A1CcDfB25A0fbeD053e0845E,BLUR,WETH,100
20,0x6217bA634d38b31765A1C40D331a4BD52995727e,WETH,BUSD,5
21,0xb454Cf61d07BBE44fD5D7793B2E8b6094495fF6a,WETH,CBETH,1
22,0x2C936Dd9D2D7c58C565F70F2320E96Ad8f7eF8C2,WETH,CBETH,5
23,0xEd3fE08bd12F24dad0f1a1E58610644dEbe374fb,WETH,CBETH,30
24,0x4d71A211F05f77fdd2C3abB96D5162b13Ff6aDD5,WETH,CELR,5
25,0xfA5738670cFAd9745a58305101c6Fa9c4E42e615,WETH,CELR,30
26,0xDfA19e743421C394d904f5a113121c2227d2364b,WETH,COMP,30
27,0x642E621DC9a68A3165557B58d56abdC5444faCB3,WETH,COMP,100
28,0x14Cc036360C896c20Bc816A2a7aA514bC843766f,WETH,CRV,5
