index,address,token_0,token_1,fee
0,0x59354356Ec5d56306791873f567d61EBf11dfbD5,ARB,WETH,30
1,0x755E5A186F0469583bd2e80d1216E02aB88Ec6ca,ARB,WETH,100
2,0x881B8d0B1aD9d1b1DB918342B064D10aFb9eaa69,BNB,WETH,30
3,0x9E7809C21BA130c1A51C112928eA6474D9a9Ae3C,BNB,WETH,100
4,0xD8dEC118e1215F02e10DB846DCbBfE27d477aC19,DAI,WETH,1
5,0x60594a405d53811d3BC4766596EFD80fd545A270,DAI,WETH,5
6,0xC2e9F25Be6257c210d7Adf0D4Cd6E3E881ba25f8,DAI,WETH,30
7,0xa80964C5bBd1A0E95777094420555fead1A26c1e,DAI,WETH,100
8,0x468358dBbE8D10512F216e215A01d00D5eb844EB,WETH,ENS,5
9,0x92560C178cE069CC014138eD3C2F5221Ba71f58a,WETH,ENS,30
10,0xb9C4a5522a2f8bA9E2fF7063Df8C02ed443337A3,WETH,ENS,100
11,0x0e2c4bE9F3408E5b1FF631576D946Eb8C224b5ED,WETH,GRT,30
12,0x46add4B3F80672989b9A1eAF62caD5206F5E2164,WETH,GRT,100
13,0x81fbBc40Cf075FD7De6AfCe1bc72EDA1BB0e13aa,WETH,IMX,30
14,0xFd76bE67FFF3BAC84E3D5444167bbC018f5968b6,WETH,IMX,100
15,0x5d4F3C6fA16908609BAC31Ff148Bd002AA6b8c83,LINK,WETH,5
16,0xa6Cc3C2531FdaA6Ae1A3CA84c2855806728693e8,LINK,WETH,30
17,0x3A0f221eA8B150f3D3d27DE8928851aB5264bB65,LINK,WETH,100
18,0xe3baA96aD46457d9e6cDD4e32ABC11e2C124eC49,MATIC,WETH,5
19,0x290A6a7460B308ee3F19023D2D00dE604bcf5B42,MATIC,WETH,30
20,0x99C7550be72F05ec31c446cD536F8a29C89fdB77,MATIC,WETH,100
21,0x886072A44BDd944495eFF38AcE8cE75C1EacDAF6,MKR,WETH,5
22,0xe8c6c9227491C0a8156A0106A0204d881BB7E531,MKR,WETH,30
23,0x3aFdC5e6DfC0B0a507A8e023c9Dce2CAfC310316,MKR,WETH,100
24,0xa786568aa87fFB8AAFD1E532B66909eeb8D79399,PEPE,WETH,1
25,0x6e5c0B204D8c5311687513f0E71c10cB9e114B6b,PEPE,WETH,5
26,0x11950d141EcB863F01007AdD7D1A342041227b58,PEPE,WETH,30
